tx_id,order_id,user_id,timestamp,merchant_id,merchant_name,crypto_asset,fiat_currency,fiat_volume_cad,tx_status,payment_channel,decline_reason,processor_code,flat_fee_cad,spread_income_cad,flow_direction,risk_score,aml_flag,ip_country,velocity_1h,is_high_risk,order_created_at,channel_selected_at,kyc_passed_at,payment_completed_at,settled_at,provider_amount_cad,ledger_amount_cad,recon_delta_cad,recon_status,latency_ms,settlement_latency_min
TX-20260601-0018,ORD-20260601-0018,U00326,2026-06-01T05:22:24Z,M1005,Merchant 1005,USDC,CAD,826.0,Completed,Wire Transfer,,APPROVED,2.01,0.99,Inflow,83.0,False,CA,3,False,2026-06-01T05:11:07Z,2026-06-01T05:16:15Z,2026-06-01T05:26:22Z,2026-06-01T05:22:24Z,2026-06-01T05:32:24Z,826.0,826.0,0.0,Matched,763,10
TX-20260601-0059,ORD-20260601-0059,U00683,2026-06-01T05:41:05Z,M1017,Merchant 1017,USDC,USD,408.13,Completed,Interac e-Transfer,,APPROVED,1.42,0.49,Inflow,29.59,False,SG,1,False,2026-06-01T04:48:17Z,2026-06-01T04:50:23Z,2026-06-01T04:57:34Z,2026-06-01T05:41:05Z,2026-06-01T06:05:05Z,408.13,408.13,0.0,Matched,725,24
TX-20260601-0041,ORD-20260601-0041,U00449,2026-06-01T06:03:52Z,M1004,Merchant 1004,USDT,CAD,366.2,Completed,Interac e-Transfer,,APPROVED,1.36,0.44,Outflow,36.32,False,CA,1,False,2026-06-01T05:55:53Z,2026-06-01T06:02:40Z,2026-06-01T06:23:55Z,2026-06-01T06:03:52Z,2026-06-01T06:25:52Z,366.2,366.2,0.0,Matched,634,22
TX-20260601-0070,ORD-20260601-0070,U00006,2026-06-01T06:12:04Z,M1016,Merchant 1016,USDC,CAD,84.17,Completed,Interac e-Transfer,,APPROVED,0.97,0.1,Outflow,47.78,False,CA,2,False,2026-06-01T05:21:20Z,2026-06-01T05:23:10Z,2026-06-01T05:47:46Z,2026-06-01T06:12:04Z,2026-06-01T06:29:04Z,84.17,84.17,0.0,Matched,432,17
TX-20260601-0051,ORD-20260601-0051,U00423,2026-06-01T06:23:58Z,M1001,Merchant 1001,BTC,CAD,655.04,Completed,Interac e-Transfer,,APPROVED,1.77,1.38,Outflow,67.32,False,CA,3,False,2026-06-01T06:19:49Z,2026-06-01T06:29:10Z,2026-06-01T06:31:13Z,2026-06-01T06:23:58Z,2026-06-01T07:24:58Z,655.04,655.04,0.0,Matched,471,61
TX-20260601-0033,ORD-20260601-0033,U00414,2026-06-01T06:43:46Z,M1015,Merchant 1015,USDT,CAD,463.52,Completed,Interac e-Transfer,,APPROVED,1.5,0.56,Outflow,51.85,False,GB,2,False,2026-06-01T06:16:26Z,2026-06-01T06:24:46Z,,2026-06-01T06:43:46Z,2026-06-01T06:57:46Z,463.52,463.52,0.0,Matched,374,14
TX-20260601-0023,ORD-20260601-0023,U00018,2026-06-01T06:53:07Z,M1011,Merchant 1011,USDC,USD,300.02,Completed,Interac e-Transfer,,APPROVED,1.27,0.36,Inflow,70.15,False,US,2,False,2026-06-01T06:15:02Z,2026-06-01T06:19:14Z,2026-06-01T06:28:36Z,2026-06-01T06:53:07Z,2026-06-01T07:21:07Z,300.02,300.02,0.0,Matched,383,28
TX-20260601-0034,ORD-20260601-0034,U00204,2026-06-01T06:59:53Z,M1016,Merchant 1016,USDC,CAD,229.88,Completed,Crypto Network,,APPROVED,1.17,0.28,Inflow,37.21,False,NG,0,False,2026-06-01T06:49:59Z,2026-06-01T06:55:21Z,2026-06-01T07:11:30Z,2026-06-01T06:59:53Z,2026-06-01T07:24:53Z,229.88,229.88,0.0,Matched,764,25
TX-20260601-0084,ORD-20260601-0084,U00570,2026-06-01T07:28:59Z,M1003,Merchant 1003,USDC,CAD,43.71,Completed,Interac e-Transfer,,APPROVED,0.91,0.05,Inflow,35.81,False,CA,0,False,2026-06-01T06:20:03Z,,,2026-06-01T07:28:59Z,2026-06-01T07:53:59Z,43.71,43.71,0.0,Matched,448,25
TX-20260601-0098,ORD-20260601-0098,U00195,2026-06-01T07:33:45Z,M1020,Merchant 1020,USDC,CAD,532.47,Completed,Card,,APPROVED,1.6,0.64,Inflow,64.12,False,CA,3,False,2026-06-01T06:32:00Z,2026-06-01T06:37:12Z,2026-06-01T06:40:51Z,2026-06-01T07:33:45Z,2026-06-01T07:37:45Z,532.47,532.47,0.0,Matched,627,4
TX-20260601-0044,ORD-20260601-0044,U00278,2026-06-01T07:43:30Z,M1019,Merchant 1019,USDC,CAD,174.24,Completed,Wire Transfer,,APPROVED,1.09,0.21,Outflow,44.33,False,US,2,False,2026-06-01T07:33:55Z,2026-06-01T07:38:17Z,2026-06-01T07:44:12Z,2026-06-01T07:43:30Z,2026-06-01T08:05:30Z,174.24,174.24,0.0,Matched,312,22
TX-20260601-0007,ORD-20260601-0007,U00551,2026-06-01T07:45:06Z,M1018,Merchant 1018,USDT,USD,96.52,Completed,Crypto Network,,APPROVED,0.99,0.12,Outflow,50.72,False,GB,2,False,2026-06-01T06:59:44Z,2026-06-01T07:08:33Z,2026-06-01T07:11:13Z,2026-06-01T07:45:06Z,2026-06-01T07:49:06Z,96.52,96.52,0.0,Matched,333,4
TX-20260601-0097,ORD-20260601-0097,U00734,2026-06-01T07:47:24Z,M1004,Merchant 1004,USDT,CAD,80.69,Completed,Crypto Network,,APPROVED,0.96,0.1,Outflow,30.97,False,US,1,False,2026-06-01T07:26:30Z,2026-06-01T07:31:25Z,,2026-06-01T07:47:24Z,2026-06-01T08:30:24Z,80.69,80.69,0.0,Matched,1215,43
TX-20260601-0068,ORD-20260601-0068,U00644,2026-06-01T08:09:18Z,M1001,Merchant 1001,USDT,USD,656.94,Completed,Interac e-Transfer,,APPROVED,1.77,0.79,Inflow,64.31,False,CA,5,False,2026-06-01T07:08:29Z,2026-06-01T07:09:46Z,2026-06-01T07:25:25Z,2026-06-01T08:09:18Z,2026-06-01T08:26:18Z,656.94,656.94,0.0,Matched,465,17
TX-20260601-0072,ORD-20260601-0072,U00340,2026-06-01T08:24:17Z,M1007,Merchant 1007,USDC,CAD,1063.54,Completed,Wire Transfer,,APPROVED,2.34,1.28,Inflow,28.96,False,CA,0,False,2026-06-01T07:59:25Z,2026-06-01T08:07:00Z,2026-06-01T08:08:15Z,2026-06-01T08:24:17Z,2026-06-01T08:53:17Z,1063.54,1063.54,0.0,Matched,694,29
TX-20260601-0048,ORD-20260601-0048,U00654,2026-06-01T08:37:58Z,M1019,Merchant 1019,USDC,CAD,27.39,Completed,Card,,APPROVED,0.89,0.03,Inflow,35.06,False,US,1,False,2026-06-01T07:57:56Z,2026-06-01T08:05:55Z,,2026-06-01T08:37:58Z,2026-06-01T08:43:58Z,27.39,27.39,0.0,Matched,576,6
TX-20260601-0032,ORD-20260601-0032,U00525,2026-06-01T08:50:33Z,M1005,Merchant 1005,USDT,CAD,270.61,Completed,Wire Transfer,,APPROVED,1.23,0.32,Outflow,39.01,False,GB,3,False,2026-06-01T07:41:13Z,2026-06-01T07:51:05Z,2026-06-01T08:07:35Z,2026-06-01T08:50:33Z,2026-06-01T09:09:33Z,270.61,270.61,0.0,Matched,491,19
TX-20260601-0063,ORD-20260601-0063,U00509,2026-06-01T09:15:33Z,M1006,Merchant 1006,USDC,CAD,222.58,Completed,Interac e-Transfer,,APPROVED,1.16,0.27,Outflow,43.47,False,US,1,False,2026-06-01T08:05:37Z,2026-06-01T08:13:49Z,2026-06-01T08:22:42Z,2026-06-01T09:15:33Z,2026-06-01T09:34:33Z,222.58,222.58,0.0,Matched,3375,19
TX-20260601-0014,ORD-20260601-0014,U00431,2026-06-01T09:43:30Z,M1006,Merchant 1006,USDC,CAD,71.58,Completed,Card,,APPROVED,0.95,0.09,Inflow,31.68,False,US,0,False,2026-06-01T08:42:12Z,2026-06-01T08:47:42Z,2026-06-01T09:01:12Z,2026-06-01T09:43:30Z,2026-06-01T09:49:30Z,71.58,71.58,0.0,Matched,806,6
TX-20260601-0017,ORD-20260601-0017,U00596,2026-06-01T09:52:37Z,M1002,Merchant 1002,USDT,USD,2061.02,Completed,Crypto Network,,APPROVED,3.74,2.47,Outflow,41.49,False,CA,2,False,2026-06-01T09:06:20Z,2026-06-01T09:12:41Z,2026-06-01T09:33:27Z,2026-06-01T09:52:37Z,2026-06-01T10:11:37Z,2061.02,2061.02,0.0,Matched,537,19
TX-20260601-0085,ORD-20260601-0085,U00604,2026-06-01T09:57:32Z,M1012,Merchant 1012,USDC,CAD,493.35,Completed,Interac e-Transfer,,APPROVED,1.54,0.59,Inflow,61.75,False,CA,1,False,2026-06-01T09:55:17Z,2026-06-01T09:56:36Z,2026-06-01T10:00:54Z,2026-06-01T09:57:32Z,2026-06-01T10:22:32Z,493.35,493.35,0.0,Matched,515,25
TX-20260601-0079,ORD-20260601-0079,U00750,2026-06-01T10:06:27Z,M1015,Merchant 1015,BTC,CAD,1368.12,Failed,Card,Bank Rejection,BANK_DECLINE,0.0,0.0,Inflow,83.89,False,CA,3,False,2026-06-01T09:14:38Z,2026-06-01T09:18:55Z,2026-06-01T09:32:03Z,,,1368.12,1368.12,0.0,Matched,295,
TX-20260601-0093,ORD-20260601-0093,U00213,2026-06-01T10:10:47Z,M1007,Merchant 1007,USDT,USD,200.91,Completed,Crypto Network,,APPROVED,1.13,0.24,Outflow,38.09,False,CA,0,False,2026-06-01T10:00:14Z,2026-06-01T10:02:22Z,,2026-06-01T10:10:47Z,2026-06-01T10:30:47Z,200.91,200.91,0.0,Matched,593,20
TX-20260601-0050,ORD-20260601-0050,U00585,2026-06-01T10:29:53Z,M1012,Merchant 1012,BTC,USD,1096.91,Completed,Card,,APPROVED,2.39,2.3,Outflow,53.61,False,CA,1,False,2026-06-01T09:38:58Z,2026-06-01T09:43:36Z,2026-06-01T09:46:13Z,2026-06-01T10:29:53Z,2026-06-01T11:23:53Z,1096.91,1096.91,0.0,Matched,770,54
TX-20260601-0015,ORD-20260601-0015,U00398,2026-06-01T10:54:25Z,M1010,Merchant 1010,USDC,CAD,147.74,Completed,Interac e-Transfer,,APPROVED,1.06,0.18,Inflow,58.43,False,CA,2,False,2026-06-01T10:26:26Z,2026-06-01T10:31:57Z,2026-06-01T10:41:15Z,2026-06-01T10:54:25Z,2026-06-01T11:17:25Z,147.74,147.74,0.0,Matched,761,23
TX-20260601-0001,ORD-20260601-0001,U00580,2026-06-01T10:56:01Z,M1018,Merchant 1018,USDC,USD,359.12,Completed,Interac e-Transfer,,APPROVED,1.35,0.43,Inflow,52.52,False,CA,3,False,2026-06-01T09:46:22Z,2026-06-01T09:54:58Z,2026-06-01T10:09:06Z,2026-06-01T10:56:01Z,2026-06-01T11:51:01Z,359.12,359.12,0.0,Matched,726,55
TX-20260601-0088,ORD-20260601-0088,U00168,2026-06-01T11:13:56Z,M1018,Merchant 1018,USDC,CAD,17.57,Completed,Card,,APPROVED,0.87,0.02,Inflow,38.94,False,US,0,False,2026-06-01T10:33:22Z,2026-06-01T10:38:05Z,2026-06-01T10:42:00Z,2026-06-01T11:13:56Z,2026-06-01T11:26:56Z,20.22,17.57,2.65,Mismatch,3375,13
TX-20260601-0069,ORD-20260601-0069,U00378,2026-06-01T12:54:27Z,M1007,Merchant 1007,USDC,USD,1468.26,Completed,Wire Transfer,,APPROVED,2.91,1.76,Outflow,63.06,False,CA,1,False,2026-06-01T12:07:09Z,2026-06-01T12:12:22Z,2026-06-01T12:33:15Z,2026-06-01T12:54:27Z,2026-06-01T13:07:27Z,1468.26,1468.26,0.0,Matched,1171,13
TX-20260601-0073,ORD-20260601-0073,U00585,2026-06-01T13:01:58Z,M1009,Merchant 1009,USDC,CAD,198.25,Completed,Interac e-Transfer,,APPROVED,1.13,0.24,Inflow,77.03,False,CA,3,False,2026-06-01T12:05:53Z,2026-06-01T12:08:35Z,,2026-06-01T13:01:58Z,2026-06-01T13:10:58Z,198.25,198.25,0.0,Matched,417,9
TX-20260601-0067,ORD-20260601-0067,U00302,2026-06-01T13:52:38Z,M1011,Merchant 1011,USDT,USD,114.75,Completed,Interac e-Transfer,,APPROVED,1.01,0.14,Inflow,97.2,True,NG,2,True,2026-06-01T12:47:30Z,2026-06-01T12:50:00Z,2026-06-01T12:56:46Z,2026-06-01T13:52:38Z,2026-06-01T14:16:38Z,114.75,114.75,0.0,Matched,598,24
TX-20260601-0089,ORD-20260601-0089,U00537,2026-06-01T14:02:27Z,M1017,Merchant 1017,BTC,CAD,103.01,Completed,Interac e-Transfer,,APPROVED,0.99,0.22,Inflow,85.36,False,SG,3,True,2026-06-01T12:54:31Z,2026-06-01T12:57:05Z,2026-06-01T13:21:21Z,2026-06-01T14:02:27Z,2026-06-01T14:58:27Z,103.01,103.01,0.0,Matched,681,56
TX-20260601-0095,ORD-20260601-0095,U00017,2026-06-01T14:37:27Z,M1003,Merchant 1003,USDC,CAD,205.39,Completed,Wire Transfer,,APPROVED,1.14,0.25,Outflow,56.12,False,US,1,False,2026-06-01T13:52:55Z,2026-06-01T13:58:13Z,2026-06-01T14:16:47Z,2026-06-01T14:37:27Z,2026-06-01T14:59:27Z,205.39,205.39,0.0,Matched,516,22
TX-20260601-0083,ORD-20260601-0083,U00061,2026-06-01T14:43:01Z,M1005,Merchant 1005,USDT,CAD,402.45,Completed,Card,,APPROVED,1.41,0.48,Inflow,66.13,False,GB,1,False,2026-06-01T14:03:26Z,2026-06-01T14:09:19Z,2026-06-01T14:25:24Z,2026-06-01T14:43:01Z,2026-06-01T15:23:01Z,402.45,402.45,0.0,Matched,267,40
TX-20260601-0029,ORD-20260601-0029,U00660,2026-06-01T14:43:01Z,M1012,Merchant 1012,USDT,CAD,4261.78,Completed,Card,,APPROVED,6.82,5.11,Outflow,41.0,False,US,0,False,2026-06-01T13:38:52Z,2026-06-01T13:40:07Z,2026-06-01T13:47:29Z,2026-06-01T14:43:01Z,2026-06-01T15:06:01Z,4261.78,4261.78,0.0,Matched,852,23
TX-20260601-0043,ORD-20260601-0043,U00162,2026-06-01T14:46:14Z,M1010,Merchant 1010,USDC,USD,403.17,Completed,Interac e-Transfer,,APPROVED,1.41,0.48,Inflow,96.48,True,US,2,True,2026-06-01T14:08:20Z,2026-06-01T14:09:24Z,2026-06-01T14:33:30Z,2026-06-01T14:46:14Z,2026-06-01T14:55:14Z,403.17,403.17,0.0,Matched,296,9
TX-20260601-0031,ORD-20260601-0031,U00563,2026-06-01T14:56:55Z,M1011,Merchant 1011,USDT,CAD,1183.86,Completed,Wire Transfer,,APPROVED,2.51,1.42,Inflow,44.81,False,SG,0,False,2026-06-01T14:06:42Z,2026-06-01T14:11:31Z,2026-06-01T14:27:20Z,2026-06-01T14:56:55Z,2026-06-01T15:14:55Z,1183.86,1183.86,0.0,Matched,414,18
TX-20260601-0076,ORD-20260601-0076,U00598,2026-06-01T15:00:19Z,M1009,Merchant 1009,USDC,CAD,1212.63,Completed,Interac e-Transfer,,APPROVED,2.55,1.46,Outflow,50.81,False,CA,2,False,2026-06-01T14:05:28Z,2026-06-01T14:08:19Z,2026-06-01T14:28:24Z,2026-06-01T15:00:19Z,2026-06-01T15:08:19Z,1212.63,1212.63,0.0,Matched,540,8
TX-20260601-0065,ORD-20260601-0065,U00561,2026-06-01T15:00:51Z,M1007,Merchant 1007,USDT,USD,357.49,Completed,Interac e-Transfer,,APPROVED,1.35,0.43,Inflow,50.01,False,CA,4,False,2026-06-01T14:49:17Z,2026-06-01T14:53:12Z,2026-06-01T15:07:31Z,2026-06-01T15:00:51Z,2026-06-01T15:08:51Z,357.49,357.49,0.0,Matched,335,8
TX-20260601-0099,ORD-20260601-0099,U00347,2026-06-01T15:04:47Z,M1006,Merchant 1006,USDT,CAD,507.21,Completed,Card,,APPROVED,1.56,0.61,Inflow,35.45,False,CA,2,False,2026-06-01T14:51:29Z,2026-06-01T14:55:25Z,2026-06-01T15:02:22Z,2026-06-01T15:04:47Z,2026-06-01T15:29:47Z,507.21,507.21,0.0,Matched,495,25
TX-20260601-0036,ORD-20260601-0036,U00392,2026-06-01T16:06:31Z,M1019,Merchant 1019,ETH,CAD,103.81,Completed,Interac e-Transfer,,APPROVED,1.0,0.22,Inflow,62.76,False,CA,0,False,2026-06-01T15:53:35Z,2026-06-01T16:00:12Z,2026-06-01T16:21:46Z,2026-06-01T16:06:31Z,2026-06-01T16:34:31Z,103.81,103.81,0.0,Matched,314,28
TX-20260601-0100,ORD-20260601-0100,U00030,2026-06-01T16:12:01Z,M1015,Merchant 1015,USDC,CAD,373.73,Completed,Interac e-Transfer,,APPROVED,1.37,0.45,Inflow,72.41,True,CA,6,True,2026-06-01T15:32:11Z,2026-06-01T15:37:17Z,2026-06-01T15:54:24Z,2026-06-01T16:12:01Z,2026-06-01T16:30:01Z,373.73,373.73,0.0,Matched,1318,18
TX-20260601-0057,ORD-20260601-0057,U00142,2026-06-01T16:13:24Z,M1015,Merchant 1015,USDC,USD,394.8,Completed,Wire Transfer,,APPROVED,1.4,0.47,Inflow,50.56,False,US,1,False,2026-06-01T15:11:31Z,2026-06-01T15:13:29Z,2026-06-01T15:31:19Z,2026-06-01T16:13:24Z,2026-06-01T16:42:24Z,394.8,394.8,0.0,Matched,695,29
TX-20260601-0053,ORD-20260601-0053,U00576,2026-06-01T16:32:28Z,M1008,Merchant 1008,BTC,CAD,46.86,Completed,Wire Transfer,,APPROVED,0.92,0.1,Inflow,66.1,False,NG,2,False,2026-06-01T15:41:44Z,2026-06-01T15:48:58Z,2026-06-01T16:12:24Z,2026-06-01T16:32:28Z,2026-06-01T16:58:28Z,46.86,46.86,0.0,Matched,387,26
TX-20260601-0091,ORD-20260601-0091,U00711,2026-06-01T16:54:04Z,M1020,Merchant 1020,USDC,USD,98.61,Completed,Crypto Network,,APPROVED,0.99,0.12,Outflow,28.8,False,CA,2,False,2026-06-01T15:53:48Z,2026-06-01T15:56:03Z,2026-06-01T16:17:25Z,2026-06-01T16:54:04Z,2026-06-01T17:05:04Z,98.61,98.61,0.0,Matched,738,11
TX-20260601-0037,ORD-20260601-0037,U00698,2026-06-01T16:57:22Z,M1001,Merchant 1001,USDC,CAD,392.81,Completed,Card,,APPROVED,1.4,0.47,Inflow,76.21,False,US,5,False,2026-06-01T16:08:11Z,2026-06-01T16:09:28Z,2026-06-01T16:21:13Z,2026-06-01T16:57:22Z,2026-06-01T17:06:22Z,392.81,392.81,0.0,Matched,403,9
TX-20260601-0087,ORD-20260601-0087,U00362,2026-06-01T16:59:24Z,M1015,Merchant 1015,ETH,CAD,864.88,Completed,Card,,APPROVED,2.06,1.82,Inflow,89.84,True,CA,4,True,2026-06-01T16:09:24Z,,,2026-06-01T16:59:24Z,2026-06-01T17:12:24Z,864.88,864.88,0.0,Matched,400,13
TX-20260601-0077,ORD-20260601-0077,U00084,2026-06-01T17:01:56Z,M1017,Merchant 1017,BTC,CAD,282.77,Completed,Crypto Network,,APPROVED,1.25,0.59,Outflow,38.17,False,US,2,False,2026-06-01T16:40:46Z,2026-06-01T16:43:30Z,2026-06-01T16:51:06Z,2026-06-01T17:01:56Z,2026-06-01T18:48:56Z,282.77,282.77,0.0,Matched,1041,107
TX-20260601-0039,ORD-20260601-0039,U00650,2026-06-01T17:09:30Z,M1016,Merchant 1016,USDT,CAD,508.85,Completed,Wire Transfer,,APPROVED,1.56,0.61,Inflow,79.56,False,GB,3,False,2026-06-01T17:06:36Z,2026-06-01T17:12:37Z,2026-06-01T17:23:53Z,2026-06-01T17:09:30Z,2026-06-01T17:27:30Z,508.85,508.85,0.0,Matched,1192,18
TX-20260601-0082,ORD-20260601-0082,U00396,2026-06-01T17:44:16Z,M1003,Merchant 1003,USDT,CAD,149.39,Completed,Crypto Network,,APPROVED,1.06,0.18,Outflow,44.77,False,CA,2,False,2026-06-01T17:19:55Z,2026-06-01T17:26:25Z,2026-06-01T17:34:48Z,2026-06-01T17:44:16Z,2026-06-01T18:09:16Z,149.39,149.39,0.0,Matched,451,25
TX-20260601-0090,ORD-20260601-0090,U00637,2026-06-01T17:52:20Z,M1004,Merchant 1004,USDT,CAD,38.28,Completed,Wire Transfer,,APPROVED,0.9,0.05,Inflow,23.73,False,US,1,False,2026-06-01T17:15:19Z,2026-06-01T17:20:13Z,2026-06-01T17:43:26Z,2026-06-01T17:52:20Z,2026-06-01T18:02:20Z,38.28,38.28,0.0,Matched,258,10
TX-20260601-0075,ORD-20260601-0075,U00066,2026-06-01T18:12:25Z,M1020,Merchant 1020,USDC,USD,150.39,Completed,Interac e-Transfer,,APPROVED,1.06,0.18,Outflow,30.39,False,HK,3,False,2026-06-01T18:06:33Z,2026-06-01T18:11:59Z,2026-06-01T18:32:45Z,2026-06-01T18:12:25Z,2026-06-01T18:30:25Z,150.39,150.39,0.0,Matched,426,18
TX-20260601-0010,ORD-20260601-0010,U00355,2026-06-01T18:32:31Z,M1008,Merchant 1008,USDT,USD,345.61,Completed,Crypto Network,,APPROVED,1.33,0.41,Inflow,48.41,False,HK,2,False,2026-06-01T17:39:36Z,2026-06-01T17:43:15Z,2026-06-01T17:50:33Z,2026-06-01T18:32:31Z,2026-06-01T18:40:31Z,345.61,345.61,0.0,Matched,550,8
TX-20260601-0056,ORD-20260601-0056,U00559,2026-06-01T18:40:37Z,M1012,Merchant 1012,USDT,CAD,3506.79,Completed,Crypto Network,,APPROVED,5.76,4.21,Outflow,43.81,False,NG,1,False,2026-06-01T18:15:40Z,2026-06-01T18:17:16Z,2026-06-01T18:20:32Z,2026-06-01T18:40:37Z,2026-06-01T18:56:37Z,3506.79,3506.79,0.0,Matched,958,16
TX-20260601-0060,ORD-20260601-0060,U00651,2026-06-01T18:47:29Z,M1001,Merchant 1001,BTC,CAD,43.95,Pending,Crypto Network,,PENDING,0.0,0.0,Outflow,38.0,False,CA,2,False,2026-06-01T18:03:33Z,2026-06-01T18:13:32Z,2026-06-01T18:34:25Z,,,43.95,43.95,0.0,Matched,320,
TX-20260601-0040,ORD-20260601-0040,U00278,2026-06-01T19:07:13Z,M1009,Merchant 1009,ETH,CAD,807.4,Completed,Card,,APPROVED,1.98,1.7,Inflow,47.43,False,CA,2,False,2026-06-01T18:44:16Z,2026-06-01T18:45:16Z,2026-06-01T18:55:02Z,2026-06-01T19:07:13Z,2026-06-01T19:39:13Z,807.4,807.4,0.0,Matched,381,32
TX-20260601-0080,ORD-20260601-0080,U00577,2026-06-01T19:16:25Z,M1008,Merchant 1008,BTC,USD,164.36,Completed,Wire Transfer,,APPROVED,1.08,0.35,Outflow,44.27,False,CA,0,False,2026-06-01T18:38:22Z,2026-06-01T18:45:47Z,2026-06-01T19:10:11Z,2026-06-01T19:16:25Z,2026-06-01T19:46:25Z,164.36,164.36,0.0,Matched,1153,30
TX-20260601-0094,ORD-20260601-0094,U00515,2026-06-01T19:34:53Z,M1014,Merchant 1014,ETH,USD,185.17,Completed,Interac e-Transfer,,APPROVED,1.11,0.39,Outflow,47.93,False,CA,1,False,2026-06-01T18:51:36Z,2026-06-01T18:55:06Z,2026-06-01T19:11:33Z,2026-06-01T19:34:53Z,2026-06-01T20:21:53Z,185.17,185.17,0.0,Matched,470,47
TX-20260601-0002,ORD-20260601-0002,U00618,2026-06-01T19:45:01Z,M1010,Merchant 1010,USDC,CAD,2092.5,Completed,Interac e-Transfer,,APPROVED,3.78,2.51,Inflow,31.37,False,CA,0,False,2026-06-01T19:38:52Z,,,2026-06-01T19:45:01Z,2026-06-01T19:51:01Z,2092.5,2092.5,0.0,Matched,754,6
